Query,Result,Found_Count,Found_Dns
https://www.google.tl/search?q=inurl%3Ask69bb.xyz+OR+inurl%3Aanantic4u.xyz+OR+inurl%3A15339.uk+OR+inurl%3A08141.uk+OR+inurl%3A07568.uk+OR+inurl%3A23290.uk+OR+inurl%3A11804.uk+OR+inurl%3A13240.uk&tbm=nws,Not Found,0,
https://www.google.com.tj/search?q=inurl%3A49456.uk+OR+inurl%3A59224.uk+OR+inurl%3A37298.uk+OR+inurl%3A25987.uk+OR+inurl%3A96904.uk+OR+inurl%3Aonzoss.site+OR+inurl%3Acoolerxx.shop+OR+inurl%3Afoldbofind.shop&tbm=nws,Not Found,0,
https://www.google.tg/search?q=inurl%3A59435.uk+OR+inurl%3A33066.uk+OR+inurl%3A91290.uk+OR+inurl%3A83049.uk+OR+inurl%3A92760.uk+OR+inurl%3A44029.uk+OR+inurl%3A78184.uk+OR+inurl%3A97772.uk&tbm=nws,Not Found,0,
https://www.google.td/search?q=inurl%3A30806.uk+OR+inurl%3A07836.uk+OR+inurl%3A03728.uk+OR+inurl%3A74916.uk+OR+inurl%3A99639.uk+OR+inurl%3A39880.uk+OR+inurl%3A16014.uk+OR+inurl%3A71706.uk&tbm=nws,Searched and Not Found,0,
https://www.google.tg/search?q=inurl%3A94136.uk+OR+inurl%3A94461.uk+OR+inurl%3A73359.uk+OR+inurl%3A26195.uk+OR+inurl%3A10142.uk+OR+inurl%3A42059.uk+OR+inurl%3A06676.uk+OR+inurl%3A02938.uk&tbm=nws,Not Found,0,
https://www.google.tl/search?q=inurl%3A01006.uk+OR+inurl%3A05947.uk+OR+inurl%3A45749.uk+OR+inurl%3A82003.uk+OR+inurl%3A73107.uk+OR+inurl%3A94359.uk+OR+inurl%3A77566.uk+OR+inurl%3A18513.uk&tbm=nws,Not Found,0,
https://www.google.com.tj/search?q=inurl%3A31499.uk+OR+inurl%3A55212.uk+OR+inurl%3A12660.uk+OR+inurl%3A10808.uk+OR+inurl%3A59195.uk+OR+inurl%3A09432.uk+OR+inurl%3A28894.uk+OR+inurl%3A15781.uk&tbm=nws,Not Found,0,
https://www.google.co.th/search?q=inurl%3A01311.uk+OR+inurl%3A87072.uk+OR+inurl%3A01997.uk+OR+inurl%3A30748.uk+OR+inurl%3A30257.uk+OR+inurl%3A63088.uk+OR+inurl%3A57751.uk+OR+inurl%3A48288.uk&tbm=nws,Not Found,0,
https://www.google.tm/search?q=inurl%3A68058.uk+OR+inurl%3A50257.uk+OR+inurl%3A46296.uk+OR+inurl%3A28390.uk+OR+inurl%3A75853.uk+OR+inurl%3A09254.uk+OR+inurl%3A89147.uk+OR+inurl%3A89432.uk&tbm=nws,Not Found,0,
https://www.google.co.th/search?q=inurl%3A75833.uk+OR+inurl%3A50582.uk+OR+inurl%3A66805.uk+OR+inurl%3A82227.uk+OR+inurl%3A62270.uk+OR+inurl%3A14936.uk+OR+inurl%3A40321.uk+OR+inurl%3A61420.uk&tbm=nws,Not Found,0,
