School_Name,Address,Phone,Image_url
Sainik Global Academy," A-2, Attri complex, near Rawal Convent school, Friends Colony, Ballabhgarh, Faridabad, Haryana 121004", 097177 97369,
Blue Angels Global School," Charmwood Village, Eros Garden, Faridabad, Haryana 121009", 099585 85894,
